review_text,rating
"Good product ,fast delivery, satisfied 👍👍",5
100% Satisfied. ,5
good product!!,5
recommended,5
good product... ,5
High-quality product. Easy to install. Lightweight. The product was packed nicely.,5
Good one ,5
super,5
Quality not bad and not best either. There are some corroded places here and there. Anyway item work. Item was delayed.,4
took almost 2 weeks to ti delivery which is beyond the promised delivery date ...product looks duralble but the locks looks bit shakey ...quality product of srilanka will review after using for some time,5
"Excellent, ordered and received within 03 days. Good packing , Good product . Thanks Daraz team. recommended to buy..Tks",5
Good product. It's really worth.,5
Ladder eka hodatama hodai. Hoda heavy ekata tynawa,5
"Received package on time, however, product had damages: all 6 hinges and locks appeared repainted with nickel paint, and one leg's bottom was damaged. Requesting information on durability of locks and hinges.",2
Product is very good no damage ,5
Diliver කරන්න පරක්කු උනා..හොදට පැක් කරලා ආවා..product එක හොදයි 👍,5
very good quality. light weight and easy to operate. properly packed.,5
Got the item prior to the promised date,5
"red this in good condition. apart from the little delay I'm satisfy with the item. Another concern, I have paid this via Sampath Bank 24 months installment plan and so far it has not activated. checked with the bank and they are waiting Daraz to send the required documents. plz follow this and appreciate your reply.",5
"red this in good condition. apart from the little delay I'm satisfy with the item. Another concern, I have paid this via Sampath Bank 24 months installment plan and so far it has not activated. checked with the bank and they are waiting Daraz to send the required documents. plz follow this and appreciate your reply.",5
recommend ,5
Highly recommend ,5
Genuine product ,5
good product...late delivery...,4
"Value for money , great product ",5
#win,5
had a tracking issue ,5
Good Quality & very useful product. Recommend to buy.,5
Good strong ladder. ,5
Missing bolt and nuts,4
Good product,5
good product,4
"While the ladder was not as convenient to handle as I thought it would be, I still found it to be an adequate ladder.",4
Quality of the ladder is good. Easy to operate and less heavy. Swisstek is known for it's Aluminium ladders.,5
"Goid quality product, fast delivery 16ft is the perfect size for home use, others are too long or short",5
deliver කරලා සති දෙකකටත් පස්සේ මම කතා කරලා දහ පාරක් විතර 'Delivered' කියලා මාර්ක් කර ගත්තේ. ඒ නිසා තාමත් මගේ Installment plan එක හැදිලා නෑ. Product එකේ නම් කිසිම ප්‍රශ්ණයක් නෑ. ,2
"Quality Product. but Im bit concern about how long locks at each joint will last without failing. If a lock fail after climbing up, life will be in danger. Hope there are safety measures to prevent that situation.",5
Item as described ...Good quality . 6 month seller warranty mentioned in the site.but I didn't received any document for that..how ever quality product for this price..I recommended,5
"Brand new excellent ladder. Worth the price, pretty solid and not shaky. Secure packaging and Fast delivery. Great job from Swisstek. Highly recommended. Thank you!",5
Received this ladder few days back. well packed. Quality product . Can recommend for heavy use as well.,5
"Good product, working fine #win",5
Good quality product. Delivery was quick as well. Locking mechanism seems solid and safe.,5
Nicely packed.Deliverd very earlier than expected.Good product.Highly recommended seller,5
#win daraz best product ,5
Thanks ,5
"Received with good condition, Recommended it for best quality. Thanks Daraz ",5
"good quality product .feel better if it would be wider another2, 3inches",5
Unexpectedly received the goods very early. Quality product & well packed.,4
fast delivery. this ladder is actually good. and quality is also good.,5
Product quality is excellent and really useful for day-to-day work. ,5
Good product but we can get this from local HW in low price,3
Deliver delayed. Received via third party courier service.,5
very pleased with the product. It's a very sturdy ladder.,5
Fast Delivery ! Very Good product.. Highly Recommend.,5
Good product . It has become a children's toy now .,5
Very quick delivery.Very good product.Micely packed.,5
Very Good Item.. නියමයි.. මුදලට ඉතාම වටිනවා..,5
quality is very good.. after 4 days arrived.,5
Using it not bad. Useful for household work.,5
Good one. Received before the expected date.,5
Good one. Received before the expected date.,5
Good product but delivery was not that fast,5
quality product received in time thanks ,5
Looks very sturdy. Value for money.,5
Superb quality… Packed with Safty..,5
"well packaged , valueble for money ",5
Good package. keeo it up.😍👌👌,5
"Excellent Quickly product,",5
"Good product, fast delivery",5
fast delivery. Good seller.,5
Product quality is great. ,5
good item as per described,5
good quality.recomenderd ,5
thnx.. super product 👍,5
Good quality product ,5
good solid product. ,5
Excellent product. ,5
Thanks you so much,5
very good produc,5
Great product..,5
Good product. ,5
good product ,5
good !!!!!!!!,5
I applied EMI payment Sampath credit card. but not activated.,1
good product,5
Bad service.,1
They have sent a blank warranty card without filling anything. Not stamped. Not mentioned date of purchase or anything. I'm not sure whether they will provie a valid warranty at all for online purchases. We only have daraz order number. Thats all. But how can we prove its the same ladder we brought from them? ,2
very poor everything .delivery and communication is terrible .,1
exellent ❤️ no damage ,1
Good itam,5
best one,5
👍👍👍,5
super,5
Good ,5
good,5
👍,5
