review_text,review_id,cleaned_review,sentiment_score,sentiment_label
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",40,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive
"Some scratches were present upon delivery, but it's functional",41,scratches present upon delivery functional,0.0,neutral
"Some scratches were present upon delivery, but it's functional",42,scratches present upon delivery functional,0.0,neutral
Sturdy and reliable,43,sturdy reliable,0.0,neutral
"Good product, works as expected",44,good product works expected,0.4404,positive
,45,,,neutral
,46,,,neutral
The ladder feels a bit shakyNot worth the price,47,ladder feels bit shakynot worth price,0.2263,positive
good,48,good,0.4404,positive
"Good product, works as expected",49,good product works expected,0.4404,positive
good,50,good,0.4404,positive
,51,,,neutral
,52,,,neutral
Easy to fold and store. Perfect for my small space!,53,easy fold store perfect small space,0.765,positive
Sturdy and reliable,54,sturdy reliable,0.0,neutral
Not happy with the stability; it wobbles a bit,55,not happy stability wobbles bit,-0.4585,negative
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",56,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive
"A bit heavy to handle, but overall it does the job well",57,bit heavy handle overall job well,0.2732,positive
Easy to fold and store. Perfect for my small space!,58,easy fold store perfect small space,0.765,positive
Sturdy and reliable,59,sturdy reliable,0.0,neutral
The quality is excellent; I feel safe using it,60,quality excellent feel safe using,0.765,positive
This ladder is compact and easy to carry around,61,ladder compact easy carry around,0.4404,positive
The ladder feels a bit shakyNot worth the price,62,ladder feels bit shakynot worth price,0.2263,positive
Not satisfied. Expected better build quality.,63,not satisfied expected better build quality,-0.5773,negative
"A bit heavy to handle, but overall it does the job well",64,bit heavy handle overall job well,0.2732,positive
Sturdy and reliable,65,sturdy reliable,0.0,neutral
Not satisfied. Expected better build quality.,66,not satisfied expected better build quality,-0.5773,negative
Not happy with the stability; it wobbles a bit,67,not happy stability wobbles bit,-0.4585,negative
good product,68,good product,0.4404,positive
"A bit heavy to handle, but overall it does the job well",69,bit heavy handle overall job well,0.2732,positive
Not satisfied. Expected better build quality.,70,not satisfied expected better build quality,-0.5773,negative
The quality is excellent; I feel safe using it,71,quality excellent feel safe using,0.765,positive
"Some scratches were present upon delivery, but it's functional",72,scratches present upon delivery functional,0.0,neutral
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",73,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive
,74,,,neutral
,75,,,neutral
This ladder is compact and easy to carry around,76,ladder compact easy carry around,0.4404,positive
,77,,,neutral
,78,,,neutral
good,79,good,0.4404,positive
This ladder is compact and easy to carry around,80,ladder compact easy carry around,0.4404,positive
Easy to fold and store. Perfect for my small space!,81,easy fold store perfect small space,0.765,positive
This ladder is compact and easy to carry around,82,ladder compact easy carry around,0.4404,positive
good,83,good,0.4404,positive
"A bit heavy to handle, but overall it does the job well",84,bit heavy handle overall job well,0.2732,positive
The height is just right for cleaning and painting tasks,85,height right cleaning painting tasks,0.0,neutral
The quality is excellent; I feel safe using it,86,quality excellent feel safe using,0.765,positive
"Good product, works as expected",87,good product works expected,0.4404,positive
"A bit heavy to handle, but overall it does the job well",88,bit heavy handle overall job well,0.2732,positive
The ladder feels a bit shakyNot worth the price,89,ladder feels bit shakynot worth price,0.2263,positive
good product,90,good product,0.4404,positive
Not satisfied. Expected better build quality.,91,not satisfied expected better build quality,-0.5773,negative
Not happy with the stability; it wobbles a bit,92,not happy stability wobbles bit,-0.4585,negative
good,93,good,0.4404,positive
The ladder feels a bit shakyNot worth the price,94,ladder feels bit shakynot worth price,0.2263,positive
The quality is excellent; I feel safe using it,95,quality excellent feel safe using,0.765,positive
The height is just right for cleaning and painting tasks,96,height right cleaning painting tasks,0.0,neutral
Not happy with the stability; it wobbles a bit,97,not happy stability wobbles bit,-0.4585,negative
The height is just right for cleaning and painting tasks,98,height right cleaning painting tasks,0.0,neutral
,99,,,neutral
Not happy with the stability; it wobbles a bit,100,not happy stability wobbles bit,-0.4585,negative
Not satisfied. Expected better build quality.,101,not satisfied expected better build quality,-0.5773,negative
good product,102,good product,0.4404,positive
Very sturdy and feels safe to use. Highly recommended!,103,sturdy feels safe use highly recommended,0.6115,positive
Not satisfied. Expected better build quality.,104,not satisfied expected better build quality,-0.5773,negative
Sturdy and reliable,105,sturdy reliable,0.0,neutral
"Some scratches were present upon delivery, but it's functional",106,scratches present upon delivery functional,0.0,neutral
good,107,good,0.4404,positive
Very sturdy and feels safe to use. Highly recommended!,108,sturdy feels safe use highly recommended,0.6115,positive
Not happy with the stability; it wobbles a bit,109,not happy stability wobbles bit,-0.4585,negative
"Some scratches were present upon delivery, but it's functional",110,scratches present upon delivery functional,0.0,neutral
,111,,,neutral
Sturdy and reliable,112,sturdy reliable,0.0,neutral
"Good product, works as expected",113,good product works expected,0.4404,positive
This ladder is compact and easy to carry around,114,ladder compact easy carry around,0.4404,positive
This ladder is compact and easy to carry around,115,ladder compact easy carry around,0.4404,positive
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",116,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive
,117,,,neutral
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",118,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive
Not happy with the stability; it wobbles a bit,119,not happy stability wobbles bit,-0.4585,negative
good,120,good,0.4404,positive
,121,,,neutral
The quality is excellent; I feel safe using it,122,quality excellent feel safe using,0.765,positive
good product,123,good product,0.4404,positive
"A bit heavy to handle, but overall it does the job well",124,bit heavy handle overall job well,0.2732,positive
Not satisfied. Expected better build quality.,125,not satisfied expected better build quality,-0.5773,negative
good,126,good,0.4404,positive
The height is just right for cleaning and painting tasks,127,height right cleaning painting tasks,0.0,neutral
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",128,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",129,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive
good product,130,good product,0.4404,positive
good,131,good,0.4404,positive
good,132,good,0.4404,positive
Not happy with the stability; it wobbles a bit,133,not happy stability wobbles bit,-0.4585,negative
"A bit heavy to handle, but overall it does the job well",134,bit heavy handle overall job well,0.2732,positive
The height is just right for cleaning and painting tasks,135,height right cleaning painting tasks,0.0,neutral
,136,,,neutral
The ladder feels a bit shakyNot worth the price,137,ladder feels bit shakynot worth price,0.2263,positive
,138,,,neutral
Easy to fold and store. Perfect for my small space!,139,easy fold store perfect small space,0.765,positive
Not happy with the stability; it wobbles a bit,140,not happy stability wobbles bit,-0.4585,negative
The height is just right for cleaning and painting tasks,141,height right cleaning painting tasks,0.0,neutral
good product,142,good product,0.4404,positive
good product,143,good product,0.4404,positive
Not satisfied. Expected better build quality.,144,not satisfied expected better build quality,-0.5773,negative
,145,,,neutral
"Some scratches were present upon delivery, but it's functional",146,scratches present upon delivery functional,0.0,neutral
This ladder is compact and easy to carry around,147,ladder compact easy carry around,0.4404,positive
Not happy with the stability; it wobbles a bit,148,not happy stability wobbles bit,-0.4585,negative
Easy to fold and store. Perfect for my small space!,149,easy fold store perfect small space,0.765,positive
,150,,,neutral
"Some scratches were present upon delivery, but it's functional",151,scratches present upon delivery functional,0.0,neutral
The quality is excellent; I feel safe using it,152,quality excellent feel safe using,0.765,positive
The height is just right for cleaning and painting tasks,153,height right cleaning painting tasks,0.0,neutral
"Good product, works as expected",154,good product works expected,0.4404,positive
,155,,,neutral
The height is just right for cleaning and painting tasks,156,height right cleaning painting tasks,0.0,neutral
Not happy with the stability; it wobbles a bit,157,not happy stability wobbles bit,-0.4585,negative
The ladder feels a bit shakyNot worth the price,158,ladder feels bit shakynot worth price,0.2263,positive
The height is just right for cleaning and painting tasks,159,height right cleaning painting tasks,0.0,neutral
The height is just right for cleaning and painting tasks,160,height right cleaning painting tasks,0.0,neutral
,161,,,neutral
Not happy with the stability; it wobbles a bit,162,not happy stability wobbles bit,-0.4585,negative
Sturdy and reliable,163,sturdy reliable,0.0,neutral
The ladder feels a bit shakyNot worth the price,164,ladder feels bit shakynot worth price,0.2263,positive
Easy to fold and store. Perfect for my small space!,165,easy fold store perfect small space,0.765,positive
Easy to fold and store. Perfect for my small space!,166,easy fold store perfect small space,0.765,positive
"Good product, works as expected",167,good product works expected,0.4404,positive
Easy to fold and store. Perfect for my small space!,168,easy fold store perfect small space,0.765,positive
