ID,product_type,size,text,rating
35,Multi-purpose ladder,12ft,Good product ,5
36,Multi-purpose ladder,12ft,Good Quality strong product. Very Happy with the Daraz service too. ,5
37,Multi-purpose ladder,12ft,great product. wrapped very well. thank you,5
38,Multi-purpose ladder,12ft,highly recommended ladder. thank you swisstech,5
39,Multi-purpose ladder,12ft,Great Service. Item delivered with in 2 days,5
40,Multi-purpose ladder,12ft,Good product. Recommended.,5
41,Multi-purpose ladder,12ft,worth the money 🤑,4
42,Multi-purpose ladder,12ft,Sturdy ladder well packed and delivered very fast. ,5
43,Multi-purpose ladder,12ft,product is okay .but delivery took more than 9 days within the Greater Colombo. They should work on the Delivery service.,1
44,Multi-purpose ladder,12ft,This is handy for apartments where space is limited. A bit heavy and takes time getting used to. But happy overall. Good quality,5
45,Multi-purpose ladder,12ft,"excellent utility. Very good build quality. Useful and handy for many different situations. Good if a proper fitting plank was included to stand on (when used in arch position), even at an additional cost",5
46,Multi-purpose ladder,12ft,"locks very very tight, got the hand injured as well. spoke to Swisstek to send replacement with a technician. ",5
47,Multi-purpose ladder,12ft,this is an excellent product..it worths every rupee you have spent..I weight aroung 85kg and it can handle it without a blink..recommend for anyone,5
48,Multi-purpose ladder,12ft,This is a really a good and useful item for home. Delivery is excellent.received the item within 3 days from order. Only bad thing is seller didn't gave the invoice.other than that all are positive feedbacks.looking forward to shop more....,5
49,Multi-purpose ladder,12ft,Very fast delivery. Good packaging and no damages. Received the warranty card as well. Bit heavy and strong structure.,5
50,Multi-purpose ladder,12ft,Good product; But seller didnt send any invoice or warranty card for the product. When contacted by chat he say product is good quality and no need warranty card but to keep the order date in mind. NOT PROFESSIONAL SELLER. ,3
51,Multi-purpose ladder,12ft,Item received. Product is according to the description. Sad thing is price has been reduced later.,5
52,Multi-purpose ladder,12ft,Perfect and good customer service,5
53,Multi-purpose ladder,12ft,"Fast delivery, haven't used it yet.",5
54,Multi-purpose ladder,12ft,Super customer service Thank You…… ,5
55,Multi-purpose ladder,12ft,Good Product and best price 👌👌👌👍,5
56,Multi-purpose ladder,12ft,this is my 3rd ladder that i ordered from daraz. its perfect and highly recommend the seller.,5
57,Multi-purpose ladder,12ft,Good Product and best price 👌👌👌👍,5
58,Multi-purpose ladder,12ft,steady and strong…,5
59,Multi-purpose ladder,12ft,Excellent,5
60,Multi-purpose ladder,12ft,"A good product with high build quality, easy to handle and fast delivery. ",4
61,Multi-purpose ladder,12ft,Received with very good packing. Product is very good. Worth for money ,5
62,Multi-purpose ladder,12ft,"Quick delivery, good product as mentioned, but warranty card not filled",5
63,Multi-purpose ladder,12ft,"quality durable Product , worth the money delivery within few days ..",5
64,Multi-purpose ladder,12ft,The best efficient Ladder with lot of options . Highly Recommended...,5
65,Multi-purpose ladder,12ft,Quality product. Can recomend. Ideal for home usage. Thankyou Daraz.,5
66,Multi-purpose ladder,12ft,been using for about 2 months. very good product. highly recommended.,5
67,Multi-purpose ladder,12ft,highly recommended...good quality product...good service too.,5
68,Multi-purpose ladder,12ft,"Thank you so much, received soon. Thank you all so much",5
69,Multi-purpose ladder,12ft,very happy. good sturdy tall yet compact for storage. ,5
70,Multi-purpose ladder,12ft,The ladder seems to be in good condition on arrival ,4
71,Multi-purpose ladder,12ft,The ladder seems to be in good condition on arrival ,5
72,Multi-purpose ladder,12ft,Received as advertised. Quality product. Satisfied.,5
73,Multi-purpose ladder,12ft,Thank you very much for your honest service .,5
74,Multi-purpose ladder,12ft,"Good product, but no details on warranty card",5
75,Multi-purpose ladder,12ft,Quality product. can recommend,5
76,Multi-purpose ladder,12ft,Thank you daraz ❤ it s good 👍,5
77,Multi-purpose ladder,12ft,good product & good qulity ,5
78,Multi-purpose ladder,12ft,good product but expensive.,5
79,Multi-purpose ladder,12ft,good Quality product 👍,5
80,Multi-purpose ladder,12ft,Good product. Recommend ,5
81,Multi-purpose ladder,12ft,super quality material ,5
82,Multi-purpose ladder,12ft,thank you. good item ,5
83,Multi-purpose ladder,12ft,Good quality product,5
84,Multi-purpose ladder,12ft,Best product. Thanks,4
85,Multi-purpose ladder,12ft,VERY GOOD PRODUCT ,5
86,Multi-purpose ladder,12ft,Excellent product ,5
87,Multi-purpose ladder,12ft,very good product ,5
88,Multi-purpose ladder,12ft,Good as described,5
89,Multi-purpose ladder,12ft,Quality product,5
90,Multi-purpose ladder,12ft,Good Thanks ,5
91,Multi-purpose ladder,12ft,very useful,5
92,Multi-purpose ladder,12ft,very good item ,5
93,Multi-purpose ladder,12ft,Good product,4
94,Multi-purpose ladder,12ft,good one ,5
95,Multi-purpose ladder,12ft,Good....,5
96,Multi-purpose ladder,12ft,👍,5
97,Multi-purpose ladder,16ft,This took 24000 to the December Discount ... But it is worth using the heavier ...DEAL doesn't have a loss ... it's very useful ... thanks,4
98,Multi-purpose ladder,16ft,"Really high quality product. Delivered very quickly. Almost everything was perfect, except one of the screws was bent, but I bent it back to normal shape, and everything was good. The screw was the only mishap. All in all, great product.",5
99,Multi-purpose ladder,16ft,"quality product, very useful for domestic purposes.",5
100,Multi-purpose ladder,16ft,"A good feature, for a while, have a good prat.The price was drastically withdrawn.It is worth using because it is easy to keep a level.It is easy to take because there is a relaxed relaxation.Sadhirage is well aware.Hope it can use it",5
101,Multi-purpose ladder,16ft,"perfect, no words 👌",5
102,Multi-purpose ladder,16ft,"Recommend Ladder , locks in place securely & stable to work on it . ",5
103,Multi-purpose ladder,16ft,"Quick delivery, good packing ",5
104,Multi-purpose ladder,16ft,"Ladder is good.The well was she had been pulled along the ground, but it was cherished.There is no record in the warranty card.So 6 months warranty doesn't matter.But Ladder is good.❤️❤️",3
105,Multi-purpose ladder,16ft,Product looks grate and build quality is quite good. As a con all I see is ladder bending mechanism. Not sure how long sprig based ladder folding mechanism will work ,4
106,Multi-purpose ladder,16ft,Item is good and the length is matching my need. Relatively cheap in Daraz. The locks seems little bit dangerous. Better use with care. Delivery took almost 10 days. ,4
107,Multi-purpose ladder,16ft,"Nicely packed, delivered very earlier than expected. High quality product. seller is highly recommended. ",5
108,Multi-purpose ladder,16ft,good product.everything is very good.,5
109,Multi-purpose ladder,16ft,Good quality product. By the way no warranty details on the card. ,5
110,Multi-purpose ladder,16ft,great ladder. user friendly and good in strength. seller had packed well with no damages.,5
111,Multi-purpose ladder,16ft,#Win Genuine product and fast delivery.worth for money.Thank you❤️,5
112,Multi-purpose ladder,16ft,"Good Quality, Recommended ❤️❤️❤️",5
113,Multi-purpose ladder,16ft,Superb quality product. Can be placed well on the ground and suitable for several jobs. Fast shipping. Highly recommended. ,5
114,Multi-purpose ladder,16ft,Fast Delivery. High quality product. seller is highly recommended.,5
115,Multi-purpose ladder,16ft,"Very good, but I am not as fat as the guy in the picture, so I am not sure about the sturdiness",5
116,Multi-purpose ladder,16ft,Best ladders ever. #win,5
117,Multi-purpose ladder,16ft,"Seems to be a good product, but not received proper accessories to use it. 4 Bolts, 1 Nut with 8 washers. How can I fix the support bar to the ladder? Please guide.",5
118,Multi-purpose ladder,16ft,very high quality product. timely delivered and very nicely packed. fully recommend this product and the seller ,5
119,Multi-purpose ladder,16ft,High quality product.. ,4
120,Multi-purpose ladder,16ft,Used almost a year. Good quality product. Load into sedan type cars. ✅ ,5
121,Multi-purpose ladder,16ft,"Ladder eka shakthiya tikak aduyi , samanya mattame wedak karaganna puluwan , bara aduyi.",3
122,Multi-purpose ladder,16ft,good quality product.seller is higher recommend.thanks DARAZ,5
123,Multi-purpose ladder,16ft,Nicely packed and arrived on time. Quality product of Sri Lanka. Highly Recommended.,5
124,Multi-purpose ladder,16ft,highly recommend ,5
125,Multi-purpose ladder,16ft,Thank you.,5
126,Multi-purpose ladder,16ft,good product and delivery perfect tnq,5
127,Multi-purpose ladder,16ft,Really appreciate high quality Sri Lankan product. ,5
128,Multi-purpose ladder,16ft,product quality good. But received different spec,4
129,Multi-purpose ladder,16ft,Good quality product. Item arrived as indicated ,5
130,Multi-purpose ladder,16ft,"Good product ,fast delivery, satisfied 👍👍",5
131,Multi-purpose ladder,16ft,100% Satisfied. ,5
132,Multi-purpose ladder,16ft,good product!!,5
133,Multi-purpose ladder,16ft,recommended,5
134,Multi-purpose ladder,16ft,good product... ,5
135,Multi-purpose ladder,16ft,High-quality product. Easy to install. Lightweight. The product was packed nicely.,5
136,Multi-purpose ladder,16ft,Good one ,5
137,Multi-purpose ladder,16ft,super,5
138,Multi-purpose ladder,16ft,Quality not bad and not best either. There are some corroded places here and there. Anyway item work. Item was delayed.,4
139,Multi-purpose ladder,16ft,took almost 2 weeks to ti delivery which is beyond the promised delivery date ...product looks duralble but the locks looks bit shakey ...quality product of srilanka will review after using for some time,5
140,Multi-purpose ladder,16ft,"Excellent, ordered and received within 03 days. Good packing , Good product . Thanks Daraz team. recommended to buy..Tks",5
141,Multi-purpose ladder,16ft,Good product. It's really worth.,5
142,Multi-purpose ladder,16ft,Ladder eka hodatama hodai. Hoda heavy ekata tynawa,5
143,Multi-purpose ladder,16ft,"Received package on time, however, product had damages: all 6 hinges and locks appeared repainted with nickel paint, and one leg's bottom was damaged. Requesting information on durability of locks and hinges.",2
144,Multi-purpose ladder,16ft,Product is very good no damage ,5
145,Multi-purpose ladder,16ft,Restricted was late.,5
146,Multi-purpose ladder,16ft,very good quality. light weight and easy to operate. properly packed.,5
147,Multi-purpose ladder,16ft,Got the item prior to the promised date,5
148,Multi-purpose ladder,16ft,"red this in good condition. apart from the little delay I'm satisfy with the item. Another concern, I have paid this via Sampath Bank 24 months installment plan and so far it has not activated. checked with the bank and they are waiting Daraz to send the required documents. plz follow this and appreciate your reply.",5
149,Multi-purpose ladder,16ft,"red this in good condition. apart from the little delay I'm satisfy with the item. Another concern, I have paid this via Sampath Bank 24 months installment plan and so far it has not activated. checked with the bank and they are waiting Daraz to send the required documents. plz follow this and appreciate your reply.",5
150,Multi-purpose ladder,16ft,recommend ,5
151,Multi-purpose ladder,16ft,Highly recommend ,5
152,Multi-purpose ladder,16ft,Genuine product ,5
153,Multi-purpose ladder,16ft,good product...late delivery...,4
154,Multi-purpose ladder,16ft,"Value for money , great product ",5
155,Multi-purpose ladder,16ft,#win,5
156,Multi-purpose ladder,16ft,had a tracking issue ,5
157,Multi-purpose ladder,16ft,Good Quality & very useful product. Recommend to buy.,5
158,Multi-purpose ladder,16ft,Good strong ladder. ,5
159,Multi-purpose ladder,16ft,Missing bolt and nuts,4
160,Multi-purpose ladder,16ft,Good product,5
161,Multi-purpose ladder,16ft,good product,4
162,Multi-purpose ladder,16ft,"While the ladder was not as convenient to handle as I thought it would be, I still found it to be an adequate ladder.",4
163,Multi-purpose ladder,16ft,Quality of the ladder is good. Easy to operate and less heavy. Swisstek is known for it's Aluminium ladders.,5
164,Multi-purpose ladder,16ft,"Goid quality product, fast delivery 16ft is the perfect size for home use, others are too long or short",5
165,Multi-purpose ladder,16ft,"I was talking about two weeks later, and took Mark about a thousand times.So I still haven't made my installment Plan.Production doesn't have any problems.",2
166,Multi-purpose ladder,16ft,"Quality Product. but Im bit concern about how long locks at each joint will last without failing. If a lock fail after climbing up, life will be in danger. Hope there are safety measures to prevent that situation.",5
167,Multi-purpose ladder,16ft,Item as described ...Good quality . 6 month seller warranty mentioned in the site.but I didn't received any document for that..how ever quality product for this price..I recommended,5
168,Multi-purpose ladder,16ft,"Brand new excellent ladder. Worth the price, pretty solid and not shaky. Secure packaging and Fast delivery. Great job from Swisstek. Highly recommended. Thank you!",5
169,Multi-purpose ladder,16ft,Received this ladder few days back. well packed. Quality product . Can recommend for heavy use as well.,5
170,Multi-purpose ladder,16ft,"Good product, working fine #win",5
171,Multi-purpose ladder,16ft,Good quality product. Delivery was quick as well. Locking mechanism seems solid and safe.,5
172,Multi-purpose ladder,16ft,Nicely packed.Deliverd very earlier than expected.Good product.Highly recommended seller,5
173,Multi-purpose ladder,16ft,#win daraz best product ,5
174,Multi-purpose ladder,16ft,Thanks ,5
175,Multi-purpose ladder,16ft,"Received with good condition, Recommended it for best quality. Thanks Daraz ",5
176,Multi-purpose ladder,16ft,"good quality product .feel better if it would be wider another2, 3inches",5
177,Multi-purpose ladder,16ft,Unexpectedly received the goods very early. Quality product & well packed.,4
178,Multi-purpose ladder,16ft,fast delivery. this ladder is actually good. and quality is also good.,5
179,Multi-purpose ladder,16ft,Product quality is excellent and really useful for day-to-day work. ,5
180,Multi-purpose ladder,16ft,Good product but we can get this from local HW in low price,3
181,Multi-purpose ladder,16ft,Deliver delayed. Received via third party courier service.,5
182,Multi-purpose ladder,16ft,very pleased with the product. It's a very sturdy ladder.,5
183,Multi-purpose ladder,16ft,Fast Delivery ! Very Good product.. Highly Recommend.,5
184,Multi-purpose ladder,16ft,Good product . It has become a children's toy now .,5
185,Multi-purpose ladder,16ft,Very quick delivery.Very good product.Micely packed.,5
186,Multi-purpose ladder,16ft,"Very Good item .. Great, the most valuable to money.",5
187,Multi-purpose ladder,16ft,quality is very good.. after 4 days arrived.,5
188,Multi-purpose ladder,16ft,Using it not bad. Useful for household work.,5
189,Multi-purpose ladder,16ft,Good one. Received before the expected date.,5
190,Multi-purpose ladder,16ft,Good one. Received before the expected date.,5
191,Multi-purpose ladder,16ft,Good product but delivery was not that fast,5
192,Multi-purpose ladder,16ft,quality product received in time thanks ,5
193,Multi-purpose ladder,16ft,Looks very sturdy. Value for money.,5
194,Multi-purpose ladder,16ft,Superb quality… Packed with Safty..,5
195,Multi-purpose ladder,16ft,"well packaged , valueble for money ",5
196,Multi-purpose ladder,16ft,Good package. keeo it up.😍👌👌,5
197,Multi-purpose ladder,16ft,"Excellent Quickly product,",5
198,Multi-purpose ladder,16ft,"Good product, fast delivery",5
199,Multi-purpose ladder,16ft,fast delivery. Good seller.,5
200,Multi-purpose ladder,16ft,Product quality is great. ,5
201,Multi-purpose ladder,16ft,good item as per described,5
202,Multi-purpose ladder,16ft,good quality.recomenderd ,5
203,Multi-purpose ladder,16ft,thnx.. super product 👍,5
204,Multi-purpose ladder,16ft,Good quality product ,5
205,Multi-purpose ladder,16ft,good solid product. ,5
206,Multi-purpose ladder,16ft,Excellent product. ,5
207,Multi-purpose ladder,16ft,Thanks you so much,5
208,Multi-purpose ladder,16ft,very good produc,5
209,Multi-purpose ladder,16ft,Great product..,5
210,Multi-purpose ladder,16ft,Good product. ,5
211,Multi-purpose ladder,16ft,good product ,5
212,Multi-purpose ladder,16ft,good !!!!!!!!,5
213,Multi-purpose ladder,16ft,I applied EMI payment Sampath credit card. but not activated.,1
214,Multi-purpose ladder,16ft,good product,5
215,Multi-purpose ladder,16ft,Bad service.,1
216,Multi-purpose ladder,16ft,They have sent a blank warranty card without filling anything. Not stamped. Not mentioned date of purchase or anything. I'm not sure whether they will provie a valid warranty at all for online purchases. We only have daraz order number. Thats all. But how can we prove its the same ladder we brought from them? ,2
217,Multi-purpose ladder,16ft,very poor everything .delivery and communication is terrible .,1
218,Multi-purpose ladder,16ft,exellent ❤️ no damage ,1
219,Multi-purpose ladder,16ft,Good itam,5
220,Multi-purpose ladder,16ft,best one,5
221,Multi-purpose ladder,16ft,👍👍👍,5
222,Multi-purpose ladder,16ft,super,5
223,Multi-purpose ladder,16ft,Good ,5
224,Multi-purpose ladder,16ft,good,5
225,Multi-purpose ladder,16ft,👍,5
226,Multi-purpose ladder,20ft,Very very good product. value for money. good job seller and daraz,5
227,Multi-purpose ladder,20ft,"delivery service is very very poor, i ordered 24th of January but received 09th of February. many times i called to a daraz and jetex. i am not satisfying with delivery service",3
228,Multi-purpose ladder,20ft,The service is easy to suffer from opsaving strong and unbelieving.,5
229,Multi-purpose ladder,20ft,"For a long time, it was believed to be able to use a lot.",5
230,Multi-purpose ladder,20ft,Great innings.Fashion is good.Good Seller.They will respond quickly and a friendly service ... 😍😁,5
231,Multi-purpose ladder,20ft,Was packed well.It was a lot of delay when I received.,4
232,Multi-purpose ladder,20ft,The lock's levers show that they have not been properly monitoring.,4
233,Multi-purpose ladder,20ft,The product is of excellent quality and arrived in perfect condition. Very satisfied with the purchase,5
234,Multi-purpose ladder,20ft,arrived on time. good quality as described. well packed. excellent delivery and communication. ,5
235,Multi-purpose ladder,20ft,Fast delivery. Delivered within 3 days. It was packed well. Delivered carefully. Thank you seller. Recommend others,5
236,Multi-purpose ladder,20ft,"Discount price: 30,439/- (2,537*12) Weight: around 10Kg (low weight) Quality: Very Good and Aluminum Received: within 4days properly sealed and delivered.",5
237,Multi-purpose ladder,20ft,Great and REASONABLE Price. Superbly safely packed and delivered. Received less than 3 days from order. Thank you so much DARAZ for the deal. Ladder is very valuable in Price and Material. Remarkable Excellent service. Keep up the good work,5
238,Multi-purpose ladder,20ft,Hi-Quality Product...Delivered within 5 days...Highly Recommended Seller...Thank You.,5
239,Multi-purpose ladder,20ft,delivery within 5 days.it's good item.well packed.no any issue.recommended for others..,5
240,Multi-purpose ladder,20ft,good product. value for money. original quality product. ,5
241,Multi-purpose ladder,20ft,i received within 10days package well COD item are fine with the offer prices 5ft x 4 = 20ft ,5
242,Multi-purpose ladder,20ft,Superb Item .. ❤️ well packed and very useful ladder .. ❤️ love It .. ❤️🔥,5
243,Multi-purpose ladder,20ft,Good product 👍❤️,5
244,Multi-purpose ladder,20ft,The most good manufacturer has been well-packed and the product was well-paced because of negligence in the house. But a productive product.,5
245,Multi-purpose ladder,20ft,Good Packing..Very useful and Quality Item,5
246,Multi-purpose ladder,20ft,A very useful product ❤ Great build quality.Highly Recommend!,5
247,Multi-purpose ladder,20ft,Item is quality as described. Worth for the price .,5
248,Multi-purpose ladder,20ft,"It's a brilliant production. So glad to have this kind of ladder. light weight,comfortable and durable. Thank you seller.",5
249,Multi-purpose ladder,20ft,Quality product and highly recommended 👌 👏 👍 💯,5
250,Multi-purpose ladder,20ft,හොදටම පැකින් කරල තිබ්බ. භාන්ඩෙනං සුපිරි. හොද හයියට තියෙනව. බරත් නෑ. ඩිලිවර් කරන jetex නං පරක්කු කලා ගේන්න ගොඩක්. #win,5
251,Multi-purpose ladder,20ft,"Worth for money, well packed and delivered to the exact date #win",5
252,Multi-purpose ladder,20ft,received the item in an unexpectedly short duration. seems solid and as described,5
253,Multi-purpose ladder,20ft,very useful item.i bought 4×5ft. strong enough.good packing.value for money.,5
254,Multi-purpose ladder,20ft,Awesome and well packed safely was secured.It was called.,5
255,Multi-purpose ladder,20ft,Great product. Worth the money spent. Good courier. Delivered within 4days.,5
256,Multi-purpose ladder,20ft,Good quality product got this before the estimated delivery date also,5
257,Multi-purpose ladder,20ft,"The delivery was delayed. There were some minor scratches which are negligible on the ladder. But my concern is even though SwissTec has advertised that they don't charge shipping fee for their ladders purchase from Daraz, Daraz charge me Rs. 1074.00 as shipping charges.",5
258,Multi-purpose ladder,20ft,This is the advantage of it.Ladder is good.,5
259,Multi-purpose ladder,20ft,Superb quality. Extremely satisfied with the product. Product is exactly as described. Highly recommend.,5
260,Multi-purpose ladder,20ft,one year back I purchased 8` feet step ladder. still I'm using it without any problem . There product quality is very good. Thats why I purchase this 20 feet ladder.. This ladder is very good quality . easy to handle. not heavy. because of thick rubber bush we can easily keep it on tile floor to climb up without having anyone's help. worth for the price. 100% trusted seller . Thank you Daraz.,5
261,Multi-purpose ladder,20ft,Excellent product. Very suitable for home use. Has an automatic locking mechanism for each ladder position. Received the product very well packed without any damages. I recommend the seller. A++,5
262,Multi-purpose ladder,20ft,this is my 2nd ladder. easy to handled and strong. reasonable price with promotions. so highly recommend. thanks to seller and daraz.,5
263,Multi-purpose ladder,20ft,Highly￼ recommended￼.Fast delivery￼.Worth for price￼ Thanks ,5
264,Multi-purpose ladder,20ft,recommended product very useful no damages fast delivery,5
265,Multi-purpose ladder,20ft,Good! But less strong!,5
266,Multi-purpose ladder,20ft,Packed Well. ,5
267,Multi-purpose ladder,20ft,Good Product. •Nice & safe packing. •Worth for price. *Recommend for every one.,5
268,Multi-purpose ladder,20ft,ladder was in good condition.it would have been better if the width of the ladder and stepping part width increased.,5
269,Multi-purpose ladder,20ft,The two sides have a little slow down to the ground.Don't break.Very good.Done a big job.,5
270,Multi-purpose ladder,20ft,Good quality ladder,5
271,Multi-purpose ladder,20ft,Good quality product. Recommend.,5
272,Multi-purpose ladder,20ft,Really a best product!! Came with a good packing !!,5
273,Multi-purpose ladder,20ft,Fully worth & it’s a must in the house if you are doing house work in a tall building. 😃😃😃 ,5
274,Multi-purpose ladder,20ft,Very satisfied the product quality is good and well built ,5
275,Multi-purpose ladder,20ft,Excellent ladder with high quality. Recived ladder within one day. Recommend this seller.,5
276,Multi-purpose ladder,20ft,lader eka godak hodai thank you.delivery eka chuttak parakku una ,5
277,Multi-purpose ladder,20ft,It's the best ladder ,5
278,Multi-purpose ladder,20ft,very good product ,5
279,Multi-purpose ladder,20ft,This is a good portable product. Very useful. Durable. ,5
280,Multi-purpose ladder,20ft,good product.,5
281,Multi-purpose ladder,20ft,Good product but delivery was little bit slowly..,5
282,Multi-purpose ladder,20ft,"2nd ladder acquired the 2nd ladder product, good delivery",5
283,Multi-purpose ladder,20ft,Very Good product Excellent customer service.,5
284,Multi-purpose ladder,20ft,"I was very disappointed since the delivery was so late and the package was damaged. They might have loaded it carelessly. I bought 20ft one & I have a doubt if it could really handle 150kg weight, cuz when I climb, it bends slightly & it scares us about the strength. 20ft one is somewhat heavy & can't handle alone if u don't have strength. ",2
285,Multi-purpose ladder,20ft,Exellent product. very sturdy and strongly build. highly recommend this product ,5
286,Multi-purpose ladder,20ft,Looks OK. Yet to use. When extended fully stability is not satisfactory. Better to have extra struts to make it better stability. ,3
287,Multi-purpose ladder,20ft,Good product. Well packed & delivered.,5
288,Multi-purpose ladder,20ft,High quality strong ladder. Same as shown. Thank you ,5
289,Multi-purpose ladder,20ft,Superb packing. Package received before two days of the committed date,5
290,Multi-purpose ladder,20ft,Good Product & Recommended.,5
291,Multi-purpose ladder,20ft,Good build quality. Worth for price. Highly recommend this product.,5
292,Multi-purpose ladder,20ft,Safely arrieved within 4days.,5
293,Multi-purpose ladder,20ft,A very useful product ❤ Great build quality. Highly Recommend!,5
294,Multi-purpose ladder,20ft,The ladder was very well packed. Received the parcel in two days. The quality is good. Scaafold taps a little unbalance.,5
295,Multi-purpose ladder,20ft,good and fast delivery. value for money ,5
296,Multi-purpose ladder,20ft,Superb good quality.,5
297,Multi-purpose ladder,20ft,Quality and reliable product. Got delivered next day. ,5
298,Multi-purpose ladder,20ft,Very good quality product. Highly satisfied with it,5
299,Multi-purpose ladder,20ft,Good product. Fast delivery. Highly recommended. ,5
300,Multi-purpose ladder,20ft,value for Money. Delivery bit late,4
301,Multi-purpose ladder,20ft,Good product,5
302,Multi-purpose ladder,20ft,Good Product..low wight..thank.. ,5
303,Multi-purpose ladder,20ft,Good product. Genuine product. How ever price is high. Thanks.,5
304,Multi-purpose ladder,20ft,its very good .fast deliver .thanks ,5
305,Multi-purpose ladder,20ft,Very Good. Worth for money. Thank you,5
306,Multi-purpose ladder,20ft,good product.well packed. ,5
307,Multi-purpose ladder,20ft,good product. highly recommend. ,5
308,Multi-purpose ladder,20ft,Good quality. Fast delivery. very useful ,5
309,Multi-purpose ladder,20ft,Good produced 🇱🇰👍 ,5
310,Multi-purpose ladder,20ft,most valuble... good product,5
311,Multi-purpose ladder,20ft,product is in good quality. ,5
312,Multi-purpose ladder,20ft,high recommend ,5
313,Multi-purpose ladder,20ft,Good quality product,5
314,Multi-purpose ladder,20ft,Very useful product.,4
315,Multi-purpose ladder,20ft,Highly recommended…,5
316,Multi-purpose ladder,20ft,Price of this item is frequently changed. no fixed price. look like haggling,5
317,Multi-purpose ladder,20ft,High quality product. exceeded the expectation quality wise. genuine seller and highly recommended to purchase from this seller.,5
318,Multi-purpose ladder,20ft,good product ,5
319,Multi-purpose ladder,20ft,As described ,5
320,Multi-purpose ladder,20ft,Very good product ,5
321,Multi-purpose ladder,20ft,"excellent product, very sturdy and manageable ",5
322,Multi-purpose ladder,20ft,good,5
323,Multi-purpose ladder,20ft,Good product ,5
324,Multi-purpose ladder,20ft,Good product,5
325,Multi-purpose ladder,20ft,This is great job from Daraz and seller. Thanks for the Job. I recommend The Ladder 🪜 try it you will feel it. Hope to use it for some time and give a feedback later.,5
326,Multi-purpose ladder,20ft,good,4
327,Multi-purpose ladder,20ft,perfect....,5
328,Multi-purpose ladder,20ft,Good quality ,5
329,Multi-purpose ladder,20ft,we returned it ,1
330,Multi-purpose ladder,20ft,"Did not expect this much quantity product, I recommended this 10/10 . For new Buyer Don’t worry about this product. Its really high quality product…",5
331,Multi-purpose ladder,20ft,observed a glitch in safety locking mechanism but it's under control. have to improve reliability.,4
