Campaign_Type,Target_Audience,Duration,Ad_Type,Conversion_Rate,Ad_Budget,Reach,Clicks,Impressions,Date
General,Women 35-44,45 days,Facebook,0.1,2056000,1151535,30073,747570,12/6/2021
General,All Ages,15 days,Facebook,0.12,1683000,808842,38682,963696,12/15/2021
General,All Ages,15 days,Daraz,0.06,2590000,840583,44203,832093,3/1/2021
General,All Ages,60 days,Instagram,0.09,2326000,1193386,38874,886082,5/13/2021
General,Men 25-34,45 days,Website,0.13,2427000,1171964,31611,919689,7/24/2021
General,Men 18-24,30 days,YouTube,0.11,1198000,1196153,33750,912198,5/10/2021
General,Men 25-34,15 days,Instagram,0.06,2687000,921585,34929,750359,11/28/2021
General,Women 25-34,30 days,YouTube,0.11,2120000,1102757,41469,734181,6/5/2021
General,Men 18-24,45 days,Instagram,0.1,2401000,914497,36673,860840,3/29/2021
General,Men 18-24,60 days,Website,0.02,1329000,1169763,48601,954759,10/6/2021
General,Men 25-34,45 days,Facebook,0.04,2311000,946781,38390,997548,7/5/2021
General,Women 35-44,30 days,Facebook,0.13,2625000,957760,36024,732900,12/22/2021
General,Women 25-34,60 days,Facebook,0.05,903000,902466,43970,836691,9/18/2021
General,Women 25-34,45 days,Instagram,0.04,2897000,847413,49831,919311,12/2/2021
General,Women 25-34,15 days,YouTube,0.04,1187000,1080198,35728,740623,5/30/2021
General,Men 25-34,30 days,Website,0.06,1280000,895314,31223,825341,1/31/2021
General,Men 18-24,15 days,Instagram,0.14,1592000,1153148,38414,930788,4/8/2021
General,Women 25-34,15 days,Daraz,0.09,1644000,848485,31777,717253,1/3/2021
General,All Ages,45 days,Daraz,0.1,2943000,1072296,35779,779301,2/13/2021
General,Men 25-34,60 days,Facebook,0.02,2148000,1167745,31598,875866,8/4/2021
General,Women 25-34,15 days,Instagram,0.08,2234000,1195989,46958,806988,9/28/2021
General,Women 35-44,60 days,Instagram,0.03,3033000,943576,37612,857205,12/13/2021
General,Men 25-34,60 days,Facebook,0.14,3181000,1179892,45859,939708,4/25/2021
General,Men 25-34,15 days,Website,0.07,1590000,833494,43486,970308,9/13/2021
General,Men 18-24,60 days,Instagram,0.09,3072000,1110285,45677,745252,4/5/2021
General,All Ages,15 days,Facebook,0.02,2166000,882688,45243,940721,10/3/2021
General,All Ages,30 days,Instagram,0.14,2165000,1164387,37190,854349,5/8/2021
General,Men 25-34,30 days,Facebook,0.01,3169000,1171048,38013,712014,8/5/2021
General,Men 25-34,30 days,Google Ads,0.14,1205000,1168196,36656,757202,11/3/2021
General,Men 25-34,15 days,Daraz,0.12,959000,954773,33564,972361,12/31/2021
General,Women 35-44,15 days,Daraz,0.15,2382000,1062782,31080,753739,11/2/2021
General,Men 18-24,15 days,Facebook,0.08,1237000,819315,30020,995837,11/29/2021
General,All Ages,15 days,YouTube,0.03,2225000,977610,44408,813879,12/6/2021
General,Men 25-34,60 days,Daraz,0.01,3001000,971220,36057,908530,4/7/2021
General,Men 18-24,60 days,Website,0.04,2136000,807687,33447,966648,4/2/2021
General,Women 35-44,45 days,Instagram,0.08,1656000,1199042,45546,957930,5/6/2021
General,Men 18-24,45 days,Facebook,0.07,908000,1011127,46044,812740,10/20/2021
General,Women 25-34,60 days,Google Ads,0.1,2034000,1185486,38272,803148,9/16/2021
General,Women 35-44,30 days,Daraz,0.05,1188000,912706,31224,912186,10/10/2021
General,Men 18-24,45 days,Facebook,0.07,2746000,949616,49625,983822,10/10/2021
General,Men 18-24,30 days,Website,0.01,2946000,974272,47237,863894,11/20/2021
General,All Ages,30 days,Daraz,0.01,2724000,1131989,35707,863161,8/3/2021
General,All Ages,30 days,Daraz,0.07,2603000,1065924,31292,762248,6/5/2021
General,Men 25-34,60 days,Website,0.05,1383000,836802,32856,830871,2/4/2021
General,All Ages,15 days,Facebook,0.06,2766000,1093177,31400,956213,1/6/2021
General,Women 25-34,30 days,Website,0.09,2540000,895384,41601,720952,10/3/2021
General,Women 25-34,45 days,YouTube,0.06,1816000,836648,30000,743753,11/5/2021
General,All Ages,15 days,YouTube,0.01,2703000,1085931,33231,839217,1/4/2021
General,Women 35-44,60 days,Daraz,0.13,2182000,1014820,49815,706059,2/3/2021
General,Men 25-34,15 days,YouTube,0.12,2612000,1042383,40828,892842,11/3/2021
General,Women 35-44,60 days,Website,0.11,1720000,1186231,33137,874607,5/14/2021
General,Women 25-34,30 days,Daraz,0.14,2856000,953924,43250,897506,3/14/2021
General,Women 35-44,30 days,Facebook,0.04,2987000,1019556,33166,702210,8/18/2021
General,Women 35-44,15 days,Daraz,0.1,2875000,1058723,31745,858153,10/8/2021
General,Men 18-24,60 days,Google Ads,0.03,2939000,1158485,40970,972904,10/10/2021
General,Men 25-34,30 days,Instagram,0.12,1585000,826624,41467,988241,8/22/2021
General,Men 25-34,45 days,Website,0.1,2144000,1027759,41358,857119,8/25/2021
General,All Ages,45 days,Google Ads,0.06,2020000,813921,44378,877058,9/19/2021
General,All Ages,60 days,Daraz,0.14,1910000,817392,33059,730723,1/9/2021
General,Men 18-24,15 days,Daraz,0.07,2491000,887346,49796,718340,3/1/2021
General,Men 25-34,45 days,Google Ads,0.1,1999000,990467,45675,778345,10/13/2021
General,Women 25-34,30 days,Website,0.01,2079000,886306,32768,917937,8/12/2021
General,Men 18-24,30 days,Google Ads,0.02,924000,1171945,36638,998300,2/22/2021
General,Men 18-24,15 days,Facebook,0.13,3010000,1122403,37699,846045,1/25/2021
General,Men 18-24,60 days,Website,0.15,1577000,1120879,30779,838852,4/17/2021
General,Women 35-44,30 days,Instagram,0.03,3063000,999369,41701,722895,11/24/2021
General,All Ages,30 days,YouTube,0.14,1157000,874713,49183,987754,2/21/2021
General,Women 25-34,60 days,YouTube,0.07,1139000,867202,44390,941394,11/14/2021
General,Women 25-34,60 days,YouTube,0.12,2233000,831172,42357,975442,10/10/2021
General,Men 18-24,60 days,Instagram,0.1,1642000,995271,40169,875870,3/30/2021
General,Women 35-44,45 days,Facebook,0.08,1079000,1189065,30268,786957,3/29/2021
General,Women 35-44,15 days,Daraz,0.14,1920000,1086545,44871,746714,6/16/2021
General,Women 25-34,45 days,Daraz,0.03,1284000,930748,43407,811442,9/5/2021
General,Women 35-44,45 days,Instagram,0.13,2044000,967480,37287,901210,6/18/2021
General,Women 25-34,15 days,Daraz,0.01,1334000,965210,35540,750181,12/22/2021
General,Men 25-34,45 days,Instagram,0.12,3175000,1026581,48024,806725,10/6/2021
General,Men 25-34,45 days,Daraz,0.05,1035000,1019671,49843,902525,5/11/2021
General,Women 35-44,60 days,Google Ads,0.14,1029000,822945,36234,748215,11/9/2021
General,Women 25-34,45 days,Daraz,0.09,2015000,882417,31246,884119,2/12/2021
General,Women 35-44,15 days,Instagram,0.11,2273000,1166758,39613,799037,4/8/2021
General,Men 25-34,45 days,Daraz,0.14,3106000,1121730,45766,871412,5/16/2021
General,All Ages,60 days,Google Ads,0.14,3120000,882138,49387,813413,8/24/2021
General,All Ages,15 days,Instagram,0.13,1370000,1152805,46446,754571,8/2/2021
General,Women 25-34,60 days,Google Ads,0.14,2664000,1118194,39202,846156,9/10/2021
General,Women 25-34,45 days,Facebook,0.06,3150000,1107567,41579,955674,1/3/2021
General,Men 25-34,15 days,Website,0.04,2916000,896931,41715,864798,3/8/2021
General,All Ages,60 days,Instagram,0.12,2691000,804651,37602,825834,9/16/2021
General,Men 18-24,45 days,YouTube,0.07,1219000,1066356,48653,719297,8/15/2021
General,Men 18-24,15 days,Daraz,0.04,2487000,1181182,41862,772150,2/5/2021
General,Women 25-34,15 days,YouTube,0.07,2390000,863160,42683,979887,6/27/2021
General,Men 18-24,45 days,Google Ads,0.12,871000,822316,45262,765431,2/24/2021
General,All Ages,15 days,Google Ads,0.14,2889000,906993,44645,747089,9/12/2021
General,Men 18-24,45 days,Google Ads,0.15,2298000,1171023,44282,870942,7/16/2021
General,Women 25-34,45 days,Daraz,0.14,1013000,1126305,39423,730533,1/26/2021
General,Men 18-24,30 days,Google Ads,0.01,2734000,988833,42993,802262,8/25/2021
General,Women 25-34,15 days,Website,0.1,2798000,1032519,34526,707514,4/5/2021
General,All Ages,45 days,Facebook,0.05,1650000,1023170,40928,807445,9/19/2021
General,All Ages,30 days,Instagram,0.08,2562000,896202,40966,752630,3/14/2021
General,Men 25-34,60 days,Facebook,0.08,1529000,854294,44133,781551,5/25/2021
General,Men 18-24,30 days,Instagram,0.13,3182000,816208,41145,874552,12/4/2021
General,All Ages,60 days,Website,0.11,1282000,1088767,49113,750259,9/10/2021
General,Men 25-34,30 days,Website,0.03,2432000,974019,40080,934956,2/25/2021
General,All Ages,15 days,Facebook,0.11,3122000,1023570,31333,914495,9/27/2021
General,Men 25-34,30 days,Facebook,0.04,3037000,816914,49878,762853,1/22/2021
General,Women 25-34,45 days,Website,0.15,3027000,1019654,41936,883111,6/24/2021
General,Women 35-44,60 days,Google Ads,0.01,2368000,1060065,37217,721743,3/12/2021
General,Women 25-34,45 days,Facebook,0.15,893000,1148272,36873,939115,12/30/2021
General,Women 35-44,30 days,Website,0.1,1981000,1191529,44660,811270,2/5/2021
General,Men 25-34,60 days,Website,0.07,1176000,1146924,37343,723912,6/3/2021
General,Men 18-24,45 days,YouTube,0.07,2332000,831510,49522,883203,8/23/2021
General,Women 35-44,15 days,YouTube,0.02,2839000,994271,37158,970322,1/15/2021
General,All Ages,60 days,Google Ads,0.06,1251000,968226,47127,737618,3/21/2021
General,Men 18-24,60 days,YouTube,0.04,1406000,801278,38409,955848,10/3/2021
General,Women 25-34,15 days,Instagram,0.12,839000,895592,32700,817768,9/10/2021
General,Women 25-34,30 days,Facebook,0.05,1718000,1028390,42080,938842,11/1/2021
General,Men 18-24,45 days,Facebook,0.09,960000,1013770,34735,989873,4/26/2021
General,Men 18-24,45 days,YouTube,0.12,2309000,1025839,43715,762968,1/20/2021
General,Men 18-24,45 days,Google Ads,0.06,1339000,1071246,34464,898288,7/26/2021
General,Men 18-24,30 days,Website,0.1,3189000,901275,41378,861604,2/8/2021
General,Women 35-44,60 days,Google Ads,0.12,2262000,865551,38340,759820,9/28/2021
General,Women 35-44,60 days,Google Ads,0.05,2144000,876373,35389,715704,1/18/2021
General,Women 35-44,15 days,Facebook,0.06,980000,887559,48697,734129,9/14/2021
General,Men 18-24,15 days,Google Ads,0.13,2304000,934157,32660,756999,12/4/2021
General,Men 18-24,15 days,Daraz,0.08,2970000,1001467,34841,876015,8/19/2021
General,Women 25-34,60 days,Google Ads,0.08,2286000,1093887,36613,879532,8/25/2021
General,All Ages,15 days,Daraz,0.14,2134000,817450,40859,866776,2/12/2021
General,Women 25-34,45 days,Google Ads,0.06,887000,1124668,41620,929736,9/1/2021
General,Women 35-44,45 days,Google Ads,0.05,1663000,1057836,31096,738835,3/14/2021
General,All Ages,15 days,YouTube,0.04,2978000,1110220,40206,856440,3/1/2021
General,All Ages,60 days,YouTube,0.03,1523000,857115,46178,782653,9/27/2021
General,Men 25-34,15 days,Instagram,0.11,2525000,1163675,40824,873681,6/10/2021
General,Men 18-24,30 days,Daraz,0.02,2041000,1048181,39411,944737,7/24/2021
General,Men 25-34,30 days,Daraz,0.11,1313000,1104011,40391,780786,12/26/2021
General,Men 25-34,60 days,YouTube,0.14,1109000,1024452,46866,772635,4/18/2021
General,Men 18-24,15 days,YouTube,0.01,2068000,910118,35719,871656,4/13/2021
General,Men 18-24,30 days,Instagram,0.13,3070000,1138811,42193,805935,5/7/2021
General,Men 25-34,45 days,Instagram,0.03,1816000,1025580,33741,935897,8/25/2021
General,All Ages,45 days,Website,0.03,2214000,1052601,38632,749606,9/10/2021
General,All Ages,60 days,Facebook,0.1,2776000,822048,49150,942563,8/17/2021
General,Women 35-44,15 days,Instagram,0.13,872000,910632,45876,730968,8/6/2021
General,Women 25-34,15 days,Website,0.04,1381000,1054945,37705,893093,1/2/2021
General,Men 25-34,60 days,Website,0.15,2210000,1046673,30477,965946,6/12/2021
General,Women 35-44,30 days,Google Ads,0.14,2919000,955075,30504,793277,8/21/2021
General,Women 35-44,45 days,Website,0.09,2014000,850383,31775,985004,6/24/2021
General,All Ages,60 days,Instagram,0.1,2000000,929478,46372,874668,6/25/2021
General,Men 18-24,15 days,Instagram,0.1,2341000,889037,31270,766047,11/26/2021
General,Women 25-34,60 days,Google Ads,0.12,1645000,968941,46661,902596,7/17/2021
General,Men 18-24,15 days,Instagram,0.04,1640000,949383,37034,766462,9/2/2021
General,Men 18-24,60 days,Daraz,0.13,941000,970475,44300,743526,10/13/2021
General,Women 25-34,45 days,Google Ads,0.06,1537000,1138454,37545,873557,5/14/2021
General,Women 25-34,15 days,YouTube,0.1,1690000,1025501,44268,933195,9/11/2021
General,Women 25-34,60 days,Google Ads,0.09,2324000,955741,37689,841895,2/24/2021
General,All Ages,15 days,Website,0.07,1443000,1090530,47802,875185,11/15/2021
General,All Ages,30 days,Facebook,0.15,2533000,1115353,34137,871077,6/27/2021
General,Men 25-34,15 days,Facebook,0.06,2904000,1030215,31016,970574,6/4/2021
General,Women 35-44,15 days,Facebook,0.03,2715000,980866,46647,801170,6/13/2021
General,Women 25-34,45 days,Daraz,0.06,2524000,972034,35836,966603,2/26/2021
General,Men 25-34,30 days,Daraz,0.07,2009000,1189490,32556,809596,7/8/2021
General,Women 35-44,15 days,Facebook,0.08,3063000,811569,49286,952363,10/31/2021
General,Women 35-44,30 days,Daraz,0.04,2209000,1010275,31845,991671,12/12/2021
General,Men 25-34,30 days,Facebook,0.1,1086000,1023936,40866,984990,8/23/2021
General,All Ages,45 days,Website,0.14,908000,978709,40880,939337,10/4/2021
General,All Ages,30 days,Website,0.03,1221000,935024,34146,707072,11/10/2021
General,Women 35-44,60 days,Facebook,0.04,2692000,983971,38420,990298,10/21/2021
General,Women 25-34,60 days,Instagram,0.09,1863000,1008152,33556,908010,12/21/2021
General,Men 25-34,45 days,Facebook,0.13,3049000,959255,41324,939138,8/28/2021
General,Women 25-34,60 days,Facebook,0.08,1625000,1030262,32374,869983,2/1/2021
General,All Ages,60 days,Website,0.13,980000,891300,35069,727916,12/4/2021
General,All Ages,60 days,Daraz,0.1,1971000,1095572,40922,786147,12/14/2021
General,All Ages,45 days,Website,0.14,807000,1129979,43518,838110,7/13/2021
General,Women 25-34,45 days,Website,0.13,864000,918393,36658,715674,9/24/2021
General,All Ages,60 days,Google Ads,0.04,2085000,826427,35358,786351,4/17/2021
General,Men 25-34,30 days,Daraz,0.06,1195000,807716,31089,841901,12/14/2021
General,Men 18-24,15 days,Website,0.12,868000,819864,30438,805152,7/26/2021
General,All Ages,30 days,YouTube,0.14,3099000,827589,46092,840031,6/13/2021
General,All Ages,30 days,Website,0.06,880000,1069932,38825,885393,1/16/2021
General,Women 25-34,15 days,Daraz,0.11,2465000,977341,43825,981431,7/22/2021
General,Men 18-24,30 days,YouTube,0.12,956000,923637,38554,975846,2/20/2021
General,Men 18-24,45 days,Instagram,0.12,1837000,942444,48019,972123,12/19/2021
General,Men 25-34,60 days,YouTube,0.09,3129000,1140419,36717,737086,8/18/2021
General,Women 35-44,60 days,Daraz,0.07,2168000,990320,32043,966279,6/7/2021
General,Men 25-34,15 days,YouTube,0.06,3008000,1136382,35898,907522,4/9/2021
General,Women 25-34,45 days,Daraz,0.13,1716000,1015525,40462,726653,11/3/2021
General,Women 35-44,30 days,Website,0.05,2042000,1129080,40105,980994,5/8/2021
General,All Ages,45 days,Google Ads,0.06,2947000,852258,44038,774049,3/11/2021
General,Women 35-44,30 days,Daraz,0.14,1617000,870978,41069,808294,3/11/2021
General,Men 25-34,15 days,Website,0.09,1850000,1095501,47863,902829,9/7/2021
General,Women 35-44,45 days,Instagram,0.11,1417000,859231,37348,724872,12/19/2021
General,Men 25-34,15 days,Google Ads,0.05,1068000,884871,40035,972998,2/23/2021
General,Men 18-24,60 days,Instagram,0.02,1133000,845896,37906,883517,3/3/2021
General,Men 25-34,30 days,Website,0.05,1628000,800468,40200,851314,10/24/2021
General,Women 25-34,30 days,YouTube,0.14,1209000,1104856,31191,796118,2/26/2021
General,All Ages,45 days,Google Ads,0.11,2162000,1146679,35761,864747,1/16/2021
General,Men 25-34,60 days,Instagram,0.07,1649000,800507,32542,868922,8/18/2021
General,Women 35-44,45 days,Instagram,0.14,1313000,1180623,38402,719350,11/22/2021
General,Women 35-44,30 days,Instagram,0.12,3181000,1115539,31620,866946,3/12/2021
General,All Ages,60 days,Google Ads,0.01,892000,1183537,49571,785573,11/23/2021
General,Women 25-34,45 days,Instagram,0.1,3196000,1167811,31074,959091,6/23/2021
General,Men 18-24,15 days,Facebook,0.07,1528000,1030488,42156,907907,5/3/2021
General,All Ages,60 days,Daraz,0.08,1692000,1188693,48784,950940,1/12/2021
General,All Ages,60 days,YouTube,0.07,2902000,1003888,41470,816997,10/22/2021
General,Men 18-24,15 days,Facebook,0.13,2081000,813986,45611,722987,9/25/2021
General,All Ages,60 days,Instagram,0.06,1835000,844671,30790,755971,8/8/2021
General,Women 25-34,15 days,YouTube,0.09,2121000,933673,43094,819627,7/8/2021
General,All Ages,30 days,Website,0.09,2664000,1095366,32524,988712,12/6/2021
General,All Ages,30 days,Instagram,0.1,1456000,1028492,38486,890167,6/10/2021
General,Women 25-34,30 days,Facebook,0.05,1140000,1001988,45318,809013,7/26/2021
General,Men 25-34,60 days,Daraz,0.14,2056000,1080470,36920,874806,10/4/2021
General,All Ages,60 days,Website,0.13,1481000,941727,34714,940839,12/27/2021
General,Women 25-34,45 days,YouTube,0.06,2197000,1053889,38267,805756,1/1/2021
General,Women 35-44,60 days,Daraz,0.07,1519000,1162387,49609,896395,12/6/2021
General,Women 25-34,60 days,Daraz,0.03,1769000,1183627,34338,828041,10/20/2021
General,All Ages,45 days,Facebook,0.03,2989000,804169,41593,923469,4/17/2021
General,Men 18-24,30 days,YouTube,0.08,1799000,854194,35357,710884,8/31/2021
General,Men 18-24,60 days,Website,0.1,2900000,1129861,43624,958556,11/21/2021
General,All Ages,15 days,Facebook,0.09,2190000,831185,41328,887625,12/15/2021
General,Men 18-24,60 days,Google Ads,0.04,1932000,1196477,33971,713359,11/24/2021
General,Men 25-34,45 days,Website,0.08,1778000,1152567,44050,778950,6/1/2021
General,Women 25-34,15 days,Instagram,0.07,2725000,1080176,38867,976304,1/17/2021
General,Women 35-44,30 days,Google Ads,0.12,1418000,1081193,46995,812059,7/12/2021
General,Women 25-34,45 days,YouTube,0.05,1540000,905606,31905,888087,5/30/2021
General,Women 35-44,45 days,Google Ads,0.01,1987000,822126,34131,857117,9/18/2021
General,Women 25-34,60 days,Daraz,0.12,2839000,1157880,48459,994580,11/18/2021
General,Women 35-44,15 days,Website,0.04,1799000,1133424,47249,878213,10/1/2021
General,Men 25-34,30 days,Facebook,0.11,1094000,837126,31160,852017,11/21/2021
General,All Ages,45 days,Google Ads,0.06,2608000,1053632,32384,869993,5/19/2021
General,Men 18-24,15 days,Daraz,0.07,1321000,1052386,45819,915955,11/15/2021
General,Men 18-24,45 days,Facebook,0.06,2212000,1092040,45235,916275,3/4/2021
General,Women 35-44,30 days,Daraz,0.05,1692000,1003363,39925,781596,12/17/2021
General,Men 25-34,15 days,Instagram,0.09,2628000,824497,47741,862253,4/15/2021
General,Men 25-34,15 days,Facebook,0.06,2835000,924245,47182,980724,6/5/2021
General,Women 25-34,30 days,Instagram,0.06,1678000,1061781,39725,722475,11/8/2021
General,All Ages,45 days,Instagram,0.01,2484000,1090230,34195,791424,8/27/2021
General,Men 18-24,15 days,Google Ads,0.11,2651000,1077680,39848,731434,7/12/2021
General,All Ages,15 days,Instagram,0.03,2254000,979032,42331,973063,3/7/2021
General,All Ages,60 days,Instagram,0.12,1889000,1089456,38324,759210,8/31/2021
General,All Ages,45 days,Instagram,0.12,2592000,946968,37074,770850,7/2/2021
General,Women 35-44,45 days,Facebook,0.11,1609000,822585,30059,998738,4/4/2021
General,Women 25-34,30 days,Daraz,0.06,1907000,917882,44218,703648,2/13/2021
General,Women 25-34,30 days,Daraz,0.09,1370000,1083959,47390,719501,2/20/2021
General,All Ages,45 days,YouTube,0.03,824000,932025,43399,887435,1/14/2021
General,Men 18-24,15 days,YouTube,0.02,2586000,1115336,49899,876967,7/16/2021
General,Women 25-34,15 days,Website,0.01,1913000,1131234,46494,916945,6/30/2021
General,Men 25-34,60 days,YouTube,0.15,2380000,946062,41924,736819,6/24/2021
General,Women 25-34,15 days,Instagram,0.01,1091000,1050167,42070,789801,6/8/2021
General,Women 35-44,15 days,Instagram,0.05,2062000,992822,49104,771599,6/12/2021
General,All Ages,60 days,Instagram,0.13,1828000,926838,33572,818385,2/6/2021
General,Men 18-24,60 days,Instagram,0.1,977000,812717,31024,888647,1/7/2021
General,Women 35-44,30 days,Website,0.06,2293000,1128214,40087,758726,5/29/2021
General,Women 35-44,15 days,Instagram,0.02,2391000,937956,34945,795613,8/1/2021
General,All Ages,30 days,Website,0.1,1064000,1125641,42110,831017,12/7/2021
General,Men 18-24,60 days,YouTube,0.02,3001000,1107898,41434,906722,6/14/2021
General,Women 25-34,45 days,Facebook,0.05,2667000,1016274,33713,816335,3/13/2021
General,Men 25-34,15 days,Instagram,0.14,1001000,1025043,42378,832920,11/14/2021
General,Women 35-44,60 days,Daraz,0.06,1975000,814086,34779,960426,5/24/2021
General,Women 35-44,30 days,Facebook,0.02,1755000,963483,49401,867640,10/1/2021
General,All Ages,15 days,Google Ads,0.08,3159000,843864,40478,943757,11/27/2021
General,Women 25-34,45 days,Website,0.03,1073000,1060365,46315,870809,10/8/2021
General,Men 18-24,45 days,Facebook,0.11,1674000,1174034,49123,724692,2/3/2021
General,All Ages,45 days,Facebook,0.14,1825000,868446,33280,752641,10/11/2021
General,Women 35-44,15 days,YouTube,0.13,3026000,827190,48586,972016,3/6/2021
General,All Ages,30 days,Instagram,0.1,3121000,1025968,31634,984287,8/29/2021
General,Men 25-34,30 days,Website,0.05,1634000,971609,30869,773575,12/16/2021
General,Women 35-44,60 days,Website,0.09,1969000,1171550,38494,946740,8/14/2021
General,Women 35-44,45 days,Instagram,0.09,1713000,1025872,33174,751424,4/28/2021
General,Women 35-44,45 days,YouTube,0.08,1831000,1147679,36130,751221,11/9/2021
General,Women 35-44,30 days,Daraz,0.06,1247000,1189959,48135,997732,6/30/2021
General,Men 18-24,15 days,Website,0.1,1171000,910502,30324,918335,3/4/2021
General,Men 25-34,60 days,Facebook,0.12,2264000,1158044,30192,781500,5/1/2021
General,Men 25-34,15 days,YouTube,0.12,820000,1054035,32859,966435,11/22/2021
General,Women 25-34,15 days,Daraz,0.14,1069000,899873,43042,834546,10/4/2021
General,All Ages,15 days,Website,0.14,1022000,978522,30347,944820,3/8/2021
General,Women 25-34,30 days,Website,0.09,2388000,867970,35711,932211,4/26/2021
General,Men 25-34,30 days,Daraz,0.06,2686000,930977,48250,854350,8/11/2021
General,Women 25-34,30 days,YouTube,0.05,2180000,1126427,38632,751140,1/16/2021
General,All Ages,60 days,Google Ads,0.07,2552000,948309,49407,916106,3/21/2021
General,Men 25-34,15 days,Website,0.14,3150000,949845,34381,778344,11/29/2021
General,All Ages,15 days,YouTube,0.06,3109000,1017763,44000,785116,4/24/2021
General,Men 25-34,45 days,Daraz,0.04,1831000,1039756,40908,790767,10/2/2021
General,Women 25-34,30 days,YouTube,0.05,1869000,875858,34580,878830,5/16/2021
General,Men 25-34,60 days,Daraz,0.06,2464000,813609,31027,836800,6/17/2021
General,All Ages,45 days,Facebook,0.03,1526000,1161191,46042,818704,5/9/2021
General,Women 35-44,30 days,Daraz,0.02,1518000,1147007,37568,862804,12/15/2021
General,Men 18-24,60 days,Instagram,0.11,909000,960216,46169,909056,10/11/2021
General,All Ages,15 days,YouTube,0.04,1551000,957101,45765,831739,6/4/2021
General,Women 25-34,30 days,Daraz,0.05,1594000,833278,40721,723147,3/3/2021
General,Men 25-34,30 days,Website,0.1,896000,927728,47857,701900,3/23/2021
General,Women 25-34,15 days,Daraz,0.07,1133000,1064851,43147,846533,11/14/2021
General,Women 35-44,15 days,Website,0.11,2210000,827191,35309,802913,5/4/2021
General,Men 25-34,15 days,Google Ads,0.04,2296000,813358,34608,996696,5/27/2021
General,Women 35-44,60 days,YouTube,0.09,2926000,1115741,30523,862922,1/30/2021
General,Men 25-34,15 days,Instagram,0.14,1108000,1072767,35116,730092,6/15/2021
General,Men 25-34,30 days,YouTube,0.06,2620000,1018746,45950,977167,11/7/2021
General,Men 25-34,15 days,Instagram,0.14,3134000,932170,34649,919592,10/25/2021
General,All Ages,15 days,Daraz,0.09,2361000,1028972,39525,704747,5/11/2021
General,Men 18-24,60 days,Google Ads,0.05,2692000,1101224,32509,803748,6/30/2021
General,Men 18-24,45 days,YouTube,0.05,1535000,899918,34262,778541,12/9/2021
General,Men 25-34,60 days,Google Ads,0.14,2625000,1068526,31495,816374,7/4/2021
General,All Ages,45 days,Facebook,0.03,2445000,852481,41697,790984,4/15/2021
General,All Ages,60 days,YouTube,0.12,1204000,870624,30466,949854,5/23/2021
General,Men 25-34,15 days,Instagram,0.13,2303000,888115,35527,814773,1/8/2021
General,Women 35-44,45 days,Daraz,0.12,2328000,1071076,32065,759242,6/26/2021
General,Women 25-34,45 days,Daraz,0.09,1674000,1100696,49131,856214,9/12/2021
